,timewindow_actor,timewindow_director,timewindow_genre,star_actor_num,star_director_num,params,score
222,10,10,3,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.421144245390249
223,10,10,3,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4188463078093656
224,10,10,3,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.42436564995862
225,10,10,5,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4207069487283315
226,10,10,5,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.425595677759867
227,10,10,5,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4305526965678008
228,10,10,5,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4235208705500473
229,10,10,5,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4244245440779424
230,10,10,5,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.425852719807326
231,10,10,5,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4202407930755463
232,10,10,5,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.423413512428062
233,10,10,5,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4244750185040203
234,10,10,10,3,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.42328877820728
235,10,10,10,3,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4163967908358366
236,10,10,10,3,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4296568682469801
237,10,10,10,5,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4265809322848313
238,10,10,10,5,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4204040784095637
239,10,10,10,5,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4241767345121727
240,10,10,10,10,3,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.424641355316146
241,10,10,10,10,5,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4220571364721857
242,10,10,10,10,10,"{'max_depth': 10, 'max_features': 'sqrt'}",-1.4267428796269466
